한글과명,한글보통명,조사연도,개체수
검정우럭과,배스,2017,1
검정우럭과,배스,2018,1
검정우럭과,배스,2016,2
검정우럭과,배스,2019,3
검정우럭과,배스,2016,1
검정우럭과,배스,2019,1
검정우럭과,배스,2010,1
검정우럭과,배스,2016,1
검정우럭과,배스,2007,1
검정우럭과,배스,2014,1
검정우럭과,배스,2019,5
검정우럭과,배스,2016,1
검정우럭과,배스,2017,1
검정우럭과,배스,2016,1
검정우럭과,배스,2016,1
검정우럭과,배스,2018,1
검정우럭과,배스,2020,3
검정우럭과,배스,2017,2
검정우럭과,배스,2016,1
검정우럭과,배스,2016,4
검정우럭과,배스,2015,1
검정우럭과,배스,2020,10
검정우럭과,배스,2020,1
검정우럭과,배스,2018,1
검정우럭과,배스,2020,6
검정우럭과,배스,2020,1
검정우럭과,배스,2018,1
검정우럭과,배스,2016,3
검정우럭과,배스,2016,2
검정우럭과,배스,2020,2
검정우럭과,배스,2011,1
검정우럭과,배스,2016,2
검정우럭과,배스,2017,1
검정우럭과,배스,2010,1
검정우럭과,배스,2010,110
검정우럭과,배스,2016,1
검정우럭과,배스,2017,1
검정우럭과,배스,2018,3
검정우럭과,배스,2020,1
검정우럭과,배스,2010,5
미꾸리과,미꾸리,2020,1
미꾸리과,미꾸리,2013,1
미꾸리과,미꾸리,2015,1
미꾸리과,미꾸리,2016,1
미꾸리과,미꾸리,2020,1
미꾸리과,미꾸리,2017,1
미꾸리과,미꾸리,2010,1
미꾸리과,미꾸리,2020,1
미꾸리과,미꾸리,2007,1
미꾸리과,미꾸리,2016,1
미꾸리과,미꾸리,2010,1
미꾸리과,미꾸리,2016,1
미꾸리과,미꾸리,2016,1
미꾸리과,미꾸리,2019,1
미꾸리과,미꾸리,2018,1
미꾸리과,미꾸리,2016,1
미꾸리과,미꾸리,2017,1
미꾸리과,미꾸리,2016,1
미꾸리과,미꾸리,2010,1
미꾸리과,미꾸리,2014,1
미꾸리과,미꾸리,2020,1
미꾸리과,미꾸리,2020,1
미꾸리과,미꾸리,2017,1
미꾸리과,미꾸리,2017,1
미꾸리과,미꾸리,2018,2
미꾸리과,미꾸리,2014,1
미꾸리과,미꾸리,2005,1
미꾸리과,미꾸리,2010,3
미꾸리과,미꾸리,2014,1
미꾸리과,미꾸리,2005,1
미꾸리과,미꾸리,2010,2
미꾸리과,미꾸리,2015,1
미꾸리과,미꾸리,2017,1
미꾸리과,미꾸리,2006,1
미꾸리과,미꾸리,2017,1
미꾸리과,미꾸리,2019,1
미꾸리과,미꾸라지,2019,1
미꾸리과,미꾸라지,2014,1
미꾸리과,미꾸라지,2015,1
미꾸리과,미꾸라지,2014,1
미꾸리과,미꾸라지,2016,1
미꾸리과,미꾸라지,2020,1
미꾸리과,미꾸라지,2005,1
미꾸리과,미꾸라지,2015,1
미꾸리과,미꾸라지,2018,1
미꾸리과,미꾸라지,2018,1
미꾸리과,미꾸라지,2014,1
미꾸리과,미꾸라지,2017,1
미꾸리과,미꾸라지,2018,1
미꾸리과,미꾸라지,2018,1
미꾸리과,미꾸라지,2014,1
드렁허리과,드렁허리,2020,1
드렁허리과,드렁허리,2014,1
드렁허리과,드렁허리,2017,1
드렁허리과,드렁허리,2009,1
드렁허리과,드렁허리,2008,1
동사리과,얼록동사리,2020,1
동사리과,얼록동사리,2016,1
